Symbol,Company,Market Cap,% Change,Volume,Revenue
DCBO,Docebo Inc.,1.31B,1.15%,"59,586",209.17M
DSP,Viant Technology Inc.,1.29B,0.64%,"103,769",263.59M
TUYA,Tuya Inc.,1.28B,4.11%,"1,753,195",280.97M
CRCT,"Cricut, Inc.",1.24B,-2.53%,"210,953",734.48M
SCSC,"ScanSource, Inc.",1.23B,-0.37%,"115,166",3.16B
XRX,Xerox Holdings Corporation,1.20B,-1.63%,"2,620,806",6.37B
NYAX,Nayax Ltd.,1.20B,0.30%,"5,819",291.65M
DQ,Daqo New Energy Corp.,1.20B,2.84%,"678,356",1.31B
COMM,"CommScope Holding Company, Inc.",1.19B,-5.63%,"4,484,126",5.18B
OLO,Olo Inc.,1.19B,-1.89%,"605,577",271.87M
AOSL,Alpha and Omega Semiconductor Limited,1.18B,3.48%,"894,562",658.53M
DGII,Digi International Inc.,1.18B,-2.94%,"194,559",424.05M
INOD,Innodata Inc.,1.17B,1.51%,"1,163,229",137.39M
ACMR,"ACM Research, Inc.",1.16B,0.98%,"736,190",728.97M
VTEX,VTEX,1.16B,-0.79%,"292,762",225.91M
DAVE,Dave Inc.,1.15B,-3.38%,"354,032",319.36M
PRO,"PROS Holdings, Inc.",1.15B,-0.25%,"187,796",322.89M
COHU,"Cohu, Inc.",1.12B,-2.13%,"307,008",444.88M
JKS,"JinkoSolar Holding Co., Ltd.",1.11B,2.29%,"1,157,757",14.89B
PSFE,Paysafe Limited,1.10B,-,"155,363",1.70B
PENG,"Penguin Solutions, Inc.",1.10B,-1.43%,"460,483",1.24B
BELFA,Bel Fuse Inc.,1.10B,-0.57%,"17,999",524.94M
TIXT,TELUS International (Cda) Inc.,1.09B,0.76%,"395,883",2.66B
VMEO,"Vimeo, Inc.",1.08B,2.35%,"884,806",419.39M
ARRY,"Array Technologies, Inc.",1.08B,1.72%,"3,737,589",982.19M
PDFS,"PDF Solutions, Inc.",1.07B,-2.58%,"355,254",170.51M
BBAI,"BigBear.ai Holdings, Inc.",1.04B,-2.13%,"29,167,901",154.97M
WOLF,"Wolfspeed, Inc.",1.04B,9.17%,"13,584,831",804.50M
BELFB,Bel Fuse Inc.,1.03B,0.38%,"144,714",524.94M
ICHR,"Ichor Holdings, Ltd.",988.05M,-0.44%,"239,233",819.23M
ML,MoneyLion Inc.,972.19M,-0.13%,"277,022",500.28M
CRSR,"Corsair Gaming, Inc.",958.53M,-2.09%,"1,334,396",1.32B
BLND,"Blend Labs, Inc.",946.94M,-0.54%,"1,515,435",156.72M
RDWR,Radware Ltd.,924.31M,-0.41%,"57,529",266.88M
ETWO,"E2open Parent Holdings, Inc.",917.63M,2.66%,"2,060,076",613.46M
BASE,"Couchbase, Inc.",905.10M,-1.26%,"1,063,786",204.63M
CINT,CI&T Inc.,900.39M,2.26%,"58,508",410.25M
GCT,GigaCloud Technology Inc.,864.09M,0.48%,"714,269",1.11B
INDI,"indie Semiconductor, Inc.",862.18M,-2.06%,"3,518,356",228.81M
RSKD,Riskified Ltd.,861.29M,2.54%,"414,149",318.05M
DMRC,Digimarc Corporation,858.63M,-1.69%,"112,215",39.04M
SEDG,"SolarEdge Technologies, Inc.",850.71M,8.10%,"4,863,785",1.05B
HCKT,"The Hackett Group, Inc.",847.40M,1.22%,"72,683",300.74M
AIOT,"PowerFleet, Inc.",839.42M,-0.63%,"1,059,452",221.07M
ADTN,"ADTRAN Holdings, Inc.",814.31M,-0.29%,"915,176",905.35M
IIIV,"i3 Verticals, Inc.",813.35M,1.97%,"273,227",229.92M
YEXT,"Yext, Inc.",807.84M,-,"378,901",408.97M
DAKT,"Daktronics, Inc.",803.84M,-2.12%,"224,947",820.60M
NTGR,"NETGEAR, Inc.",801.24M,-2.79%,"268,180",680.01M
CEVA,"CEVA, Inc.",793.39M,-0.86%,"127,875",101.88M
SHLS,"Shoals Technologies Group, Inc.",788.49M,1.28%,"5,718,875",422.66M
MLAB,"Mesa Laboratories, Inc.",762.95M,-1.36%,"17,155",228.38M
SCWX,SecureWorks Corp.,752.90M,0.12%,"280,545",339.72M
OSPN,OneSpan Inc.,737.03M,-1.57%,"331,178",244.94M
CSIQ,Canadian Solar Inc.,725.15M,1.58%,"1,903,537",6.17B
PUBM,"PubMatic, Inc.",715.07M,-1.06%,"243,726",290.35M
PGY,Pagaya Technologies Ltd.,711.51M,5.46%,"1,612,412",970.90M
IMOS,ChipMOS TECHNOLOGIES INC.,709.78M,-0.87%,"55,298",724.84M
SSYS,Stratasys Ltd.,703.14M,6.95%,"1,124,553",578.44M
PRTH,"Priority Technology Holdings, Inc.",701.68M,0.89%,"447,205",851.91M
RPAY,Repay Holdings Corporation,697.43M,1.63%,"295,235",310.76M
RCAT,"Red Cat Holdings, Inc.",691.79M,3.85%,"12,834,671",16.47M
ITRN,Ituran Location and Control Ltd.,673.40M,0.21%,"103,993",331.18M
CGNT,Cognyte Software Ltd.,672.48M,-1.68%,"195,746",339.82M
CAN,Canaan Inc.,663.06M,-1.42%,"16,856,029",229.63M
NVTS,Navitas Semiconductor Corporation,644.45M,2.99%,"4,813,170",91.38M
YALA,Yalla Group Limited,641.83M,2.54%,"126,636",329.77M
LYTS,LSI Industries Inc.,636.88M,-10.68%,"535,183",523.02M
CNDT,Conduent Incorporated,636.36M,-1.00%,"367,354",3.51B
MGIC,Magic Software Enterprises Ltd.,630.93M,-1.08%,"28,094",535.48M
DJCO,Daily Journal Corporation,623.70M,-4.57%,"14,312",69.93M
FARO,"FARO Technologies, Inc.",611.22M,1.80%,"205,268",347.73M
IMXI,"International Money Express, Inc.",609.22M,-0.15%,"120,298",665.67M
RXT,"Rackspace Technology, Inc.",607.61M,3.89%,"1,008,747",2.77B
CRNC,Cerence Inc.,601.30M,0.14%,"4,217,834",331.50M
CTLP,"Cantaloupe, Inc.",600.68M,-0.48%,"194,451",276.75M
CLMB,"Climb Global Solutions, Inc.",594.15M,-1.19%,"20,340",410.63M
LASR,"nLIGHT, Inc.",573.89M,-1.66%,"562,841",203.06M
CLFD,"Clearfield, Inc.",571.99M,-1.53%,"90,614",166.71M
KULR,"KULR Technology Group, Inc.",526.68M,0.82%,"16,850,625",9.70M
HKD,AMTD Digital Inc.,524.55M,-,"118,196",27.78M
SKYT,"SkyWater Technology, Inc.",522.79M,-2.92%,"525,887",345.94M
DDD,3D Systems Corporation,522.14M,26.64%,"10,658,948",443.95M
OUST,"Ouster, Inc.",520.60M,-2.43%,"1,395,064",105.45M
NNDM,Nano Dimension Ltd.,513.02M,0.86%,"1,533,914",57.66M
CCSI,"Consensus Cloud Solutions, Inc.",508.84M,2.05%,"71,188",351.15M
RZLV,Rezolve AI Limited,494.16M,-5.90%,"7,154,582",-
RDVT,"Red Violet, Inc.",490.98M,-0.08%,"61,059",70.69M
MTLS,Materialise NV,484.35M,4.86%,"254,081",297.10M
AIP,"Arteris, Inc.",483.74M,-1.07%,"167,066",54.74M
BIGC,"BigCommerce Holdings, Inc.",482.82M,-0.96%,"628,365",330.05M
API,"Agora, Inc.",482.08M,15.16%,"1,901,814",134.84M
BAND,Bandwidth Inc.,473.45M,6.83%,"440,879",703.90M
MEI,"Methode Electronics, Inc.",469.60M,1.23%,"259,709",1.09B
UIS,Unisys Corporation,466.12M,0.60%,"264,911",2.02B
MITK,"Mitek Systems, Inc.",456.36M,1.40%,"341,665",172.08M
BKSY,BlackSky Technology Inc.,456.01M,25.29%,"4,022,638",107.23M
ALNT,Allient Inc.,448.42M,0.30%,"69,962",548.96M
PRCH,"Porch Group, Inc.",446.43M,4.31%,"611,249",452.10M
CRNT,Ceragon Networks Ltd.,422.48M,-3.34%,"1,625,776",377.62M
GILT,Gilat Satellite Networks Ltd.,415.65M,2.53%,"531,148",302.93M
NOVA,Sunnova Energy International Inc.,404.85M,0.93%,"9,665,564",809.98M
BKKT,"Bakkt Holdings, Inc.",402.48M,-6.30%,"544,246",1.91B
TSSI,"TSS, Inc.",401.44M,1.91%,"2,112,345",122.53M
XPER,Xperi Inc.,401.23M,-1.65%,"226,067",508.56M
POET,POET Technologies Inc.,400.85M,0.57%,"1,176,072",119.95K
LSAK,"Lesaka Technologies, Inc.",394.43M,-0.78%,"7,445",573.68M
TRAK,"ReposiTrak, Inc.",391.88M,-1.15%,"66,744",20.83M
OOMA,"Ooma, Inc.",384.87M,2.13%,"132,647",253.43M
LGTY,"Logility Supply Chain Solutions, Inc.",381.26M,0.53%,"155,590",102.40M
MVIS,"MicroVision, Inc.",376.71M,-5.49%,"7,535,790",8.15M
EGHT,"8x8, Inc.",371.08M,3.65%,"1,455,874",719.56M
AEHR,"Aehr Test Systems, Inc.",368.72M,-0.56%,"605,244",50.74M
TBCH,Turtle Beach Corporation,368.25M,-2.19%,"134,127",326.23M
ARQQ,Arqit Quantum Inc.,348.74M,4.38%,"732,154",293.00K
KLTR,"Kaltura, Inc.",341.31M,1.33%,"216,158",177.59M
NVEC,NVE Corporation,340.29M,-2.18%,"38,206",25.69M
EB,"Eventbrite, Inc.",325.52M,-4.00%,"851,886",336.37M
AUDC,AudioCodes Ltd.,325.25M,0.18%,"64,342",244.18M
BLZE,"Backblaze, Inc.",324.67M,1.26%,"189,085",122.58M
ASUR,"Asure Software, Inc.",324.22M,-2.40%,"71,152",115.26M
ATOM,Atomera Incorporated,317.71M,3.08%,"761,296",662.00K
NRDY,"Nerdy, Inc.",317.46M,1.15%,"1,439,387",197.33M
ALLT,Allot Ltd.,316.68M,0.30%,"669,932",91.63M
EXFY,"Expensify, Inc.",311.37M,5.11%,"483,775",137.44M
KOPN,Kopin Corporation,311.18M,9.14%,"24,296,209",44.27M
VPG,"Vishay Precision Group, Inc.",310.97M,0.34%,"40,592",323.40M
ILLR,Triller Group Inc.,306.88M,1.02%,"442,501",45.24M
SMRT,"SmartRent, Inc.",304.26M,-,"768,139",199.77M
DOMO,"Domo, Inc.",300.74M,1.69%,"141,186",318.46M
VLN,Valens Semiconductor Ltd.,298.67M,-4.10%,"580,387",63.13M
PDYN,Palladyne AI Corp.,296.91M,6.59%,"10,099,075",7.77M
IBEX,IBEX Limited,294.28M,0.95%,"74,340",513.68M
LAW,"CS Disco, Inc.",293.55M,-1.41%,"64,049",143.58M
SVCO,"Silvaco Group, Inc.",278.94M,1.45%,"405,303",54.31M
ONTF,"ON24, Inc.",274.90M,0.61%,"84,365",150.74M
IMMR,Immersion Corporation,273.38M,-2.08%,"482,664",163.13M
VUZI,Vuzix Corporation,272.38M,0.82%,"1,028,460",5.55M
RMNI,"Rimini Street, Inc.",271.61M,4.91%,"348,712",426.65M
ATGL,Alpha Technology Group Limited,266.03M,-4.38%,"1,255",1.17M
SANG,Sangoma Technologies Corporation,258.13M,0.27%,"5,915",244.41M
APPS,"Digital Turbine, Inc.",255.16M,9.33%,"3,586,523",491.57M
ARBE,Arbe Robotics Ltd.,254.35M,4.55%,"14,731,258",1.02M
TSAT,Telesat Corporation,247.90M,0.40%,"42,223",450.76M
AVNW,"Aviat Networks, Inc.",247.08M,-0.05%,"123,571",409.60M
ICG,Intchains Group Limited,245.75M,-4.21%,"27,734",34.65M
PERF,Perfect Corp.,242.40M,-3.64%,"293,588",58.45M
TLS,Telos Corporation,233.07M,-3.01%,"242,780",122.96M
AEVA,"Aeva Technologies, Inc.",232.23M,-4.01%,"279,664",7.98M
MAPS,"WM Technology, Inc.",222.83M,-2.21%,"853,032",183.31M
AEYE,"AudioEye, Inc.",220.30M,1.92%,"119,107",33.35M
HPAI,Helport AI Limited,215.74M,-1.36%,"5,121",29.58M
MRT,"Marti Technologies, Inc.",210.97M,0.20%,"18,479",18.95M
BCOV,Brightcove Inc.,201.19M,0.11%,"76,688",199.83M
DGNX,Diginex Limited,193.71M,-32.94%,"568,278",1.18M
NOTE,"FiscalNote Holdings, Inc.",193.47M,-5.52%,"2,887,982",125.06M
TROO,"TROOPS, Inc.",192.02M,6.18%,"67,102",4.34M
TTEC,"TTEC Holdings, Inc.",189.96M,3.65%,"372,968",2.27B
RELL,"Richardson Electronics, Ltd.",189.04M,-1.80%,"67,016",202.97M
TCX,Tucows Inc.,187.08M,2.22%,"17,702",356.14M
INSG,Inseego Corp.,183.70M,-0.89%,"88,400",207.48M
EGAN,eGain Corporation,183.41M,-1.83%,"19,055",90.43M
GRRR,Gorilla Technology Group Inc.,179.86M,2.18%,"1,974,067",78.94M
PSQH,"PSQ Holdings, Inc.",177.97M,-4.13%,"1,122,801",18.74M
REKR,"Rekor Systems, Inc.",176.39M,-6.47%,"7,134,693",43.82M
SSTI,"SoundThinking, Inc.",174.35M,5.16%,"53,718",104.67M
ONDS,Ondas Holdings Inc.,174.32M,-3.32%,"4,310,872",8.02M
CCRD,CoreCard Corporation,174.30M,-2.69%,"20,561",54.73M
FEIM,"Frequency Electronics, Inc.",173.58M,-3.94%,"43,651",60.19M
AZ,A2Z Cust2Mate Solutions Corp.,169.95M,-0.91%,"89,800",6.63M
MPTI,"M-tron Industries, Inc.",168.74M,0.15%,"21,921",46.98M
CSPI,CSP Inc.,167.61M,0.30%,"15,712",55.22M
VOXX,VOXX International Corporation,165.48M,0.14%,"164,127",427.49M
TOYO,"TOYO Co., Ltd.",164.76M,-2.29%,"57,098",200.46M
GPRO,"GoPro, Inc.",160.95M,-1.89%,"1,857,822",896.01M
III,"Information Services Group, Inc.",158.99M,0.31%,"65,679",255.99M
QMCO,Quantum Corporation,157.92M,-2.60%,"957,785",285.24M
PAYS,"Paysign, Inc.",153.68M,-1.03%,"217,406",56.47M
MX,Magnachip Semiconductor Corporation,153.65M,0.98%,"133,441",219.52M
LTRX,"Lantronix, Inc.",151.59M,-1.25%,"260,712",161.72M
XNET,Xunlei Limited,148.97M,9.30%,"570,350",359.61M
NEON,Neonode Inc.,145.34M,0.35%,"49,875",3.80M
ZEO,Zeo Energy Corp.,144.34M,2.45%,"89,354",77.58M
MRAM,"Everspin Technologies, Inc.",142.60M,-2.84%,"76,216",53.87M
QUIK,QuickLogic Corporation,139.31M,-2.55%,"83,615",21.89M
TDTH,Trident Digital Tech Holdings Ltd,137.48M,6.50%,"379,491",1.38M
GNSS,Genasys Inc.,135.24M,-1.63%,"86,196",24.01M
CSLR,"Complete Solaria, Inc.",134.99M,-3.68%,"467,425",40.80M
UEIC,Universal Electronics Inc.,134.84M,-3.81%,"53,048",382.02M
AISP,"Airship AI Holdings, Inc.",134.51M,-4.46%,"1,453,885",24.05M
LAES,SEALSQ Corp,130.00M,5.65%,"23,026,570",20.14M
YAAS,Youxin Technology Ltd,129.50M,0.52%,"106,900",774.33K
LPTH,"LightPath Technologies, Inc.",128.12M,-1.22%,"205,131",32.05M
NTCL,NetClass Technology Inc,128.01M,1.53%,"39,779",11.60M
NA,Nano Labs Ltd,127.14M,9.87%,"18,257",6.99M
ZENV,Zenvia Inc.,127.08M,2.08%,"47,460",173.59M
NVNI,Nvni Group Limited,125.94M,195.30%,"364,268,820",23.56M
WBX,Wallbox N.V.,123.36M,1.08%,"404,937",179.62M
RSSS,"Research Solutions, Inc.",123.36M,2.78%,"113,690",46.61M
RDZN,"Roadzen, Inc.",122.79M,-6.50%,"105,519",46.45M
VEEA,Veea Inc.,122.41M,0.88%,"36,293",140.04K
QH,Quhuo Limited,122.00M,1.51%,"5,533",493.47M
KVHI,"KVH Industries, Inc.",121.17M,1.32%,"34,325",118.37M
LPSN,"LivePerson, Inc.",119.92M,7.20%,"2,946,176",334.74M
UPLD,"Upland Software, Inc.",118.00M,5.39%,"260,907",278.95M
DHX,"DHI Group, Inc.",116.47M,8.94%,"137,399",144.43M
YIBO,Planet Image International Limited,115.85M,-30.65%,"34,350",153.28M
BKTI,BK Technologies Corporation,115.84M,-2.96%,"17,429",74.97M
CGTL,Creative Global Technology Holdings Limited,115.76M,2.47%,"27,661",42.95M
YXT,YXT.COM Group Holding Limited,115.35M,-4.00%,"18,984",48.03M
GCTS,"GCT Semiconductor Holding, Inc.",114.57M,-2.83%,"112,342",11.53M
VERI,"Veritone, Inc.",114.17M,-5.40%,"791,060",124.88M
PCLA,PicoCELA Inc.,112.31M,51.16%,"3,735,866",4.76M
INTT,inTEST Corporation,109.89M,-0.56%,"16,507",121.97M
MAXN,"Maxeon Solar Technologies, Ltd.",108.45M,3.51%,"203,168",689.01M
SATX,Satixfy Communications Ltd.,106.87M,-5.97%,"212,990",10.35M
SILC,Silicom Ltd.,106.00M,-0.74%,"2,799",62.39M
SNCR,"Synchronoss Technologies, Inc.",105.46M,-0.69%,"34,795",170.79M
ZENA,"ZenaTech, Inc.",104.54M,2.03%,"338,186",1.48M
OCFT,"OneConnect Financial Technology Co., Ltd.",103.65M,6.12%,"28,874",407.83M
WRAP,"Wrap Technologies, Inc.",101.40M,-3.07%,"159,467",4.23M
SOL,Emeren Group Ltd,100.97M,-,"177,827",102.49M
AXTI,"AXT, Inc.",100.04M,0.87%,"226,385",94.69M
LINK,"Interlink Electronics, Inc.",93.20M,6.76%,"16,897",12.23M
ALOT,"AstroNova, Inc.",92.68M,-3.83%,"12,312",153.52M
AIRG,"Airgain, Inc.",91.10M,-5.19%,"14,811",55.59M
SQNS,Sequans Communications S.A.,85.73M,-3.65%,"67,761",30.56M
PHUN,"Phunware, Inc.",84.52M,-3.41%,"1,070,878",3.54M
OSS,"One Stop Systems, Inc.",82.77M,-0.76%,"173,126",52.71M
GSIT,"GSI Technology, Inc.",81.81M,-11.81%,"707,511",19.69M
SMXT,"SolarMax Technology, Inc.",80.61M,-4.81%,"237,053",28.79M
OPTX,"Syntec Optics Holdings, Inc.",77.05M,-2.33%,"179,662",29.39M
ELTK,Eltek Ltd.,76.52M,1.06%,"4,618",48.09M
ASYS,"Amtech Systems, Inc.",75.67M,-0.75%,"16,988",101.21M
ALTS,ALT5 Sigma Corporation,74.57M,13.73%,"376,005",7.11M
VTSI,"VirTra, Inc.",74.37M,-1.34%,"81,698",31.77M
DM,"Desktop Metal, Inc.",73.02M,4.29%,"543,677",168.28M
MIND,"MIND Technology, Inc.",72.36M,5.70%,"547,831",45.20M
CMTL,Comtech Telecommunications Corp.,71.47M,0.41%,"368,195",504.29M
MKFG,Markforged Holding Corporation,70.94M,3.93%,"80,282",86.89M
INUV,"Inuvo, Inc.",70.64M,-4.68%,"1,038,646",78.45M
AUID,authID Inc.,68.58M,1.45%,"9,931",758.64K
ALAR,Alarum Technologies Ltd.,67.62M,-2.97%,"135,458",31.56M
WFCF,"Where Food Comes From, Inc.",66.06M,-3.19%,201,25.82M
USIO,"Usio, Inc.",65.93M,-3.95%,"200,337",81.03M
BMR,Beamr Imaging Ltd.,65.15M,3.96%,"252,030",2.96M
WKEY,WISeKey International Holding AG,62.44M,2.83%,"1,764,921",20.99M
KOSS,Koss Corporation,62.37M,-1.48%,"36,942",12.09M
NUKK,Nukkleus Inc.,61.56M,2.25%,"431,330",10.75M
SOTK,Sono-Tek Corporation,60.96M,-1.02%,"3,891",20.15M
BMTX,"BM Technologies, Inc.",60.38M,0.20%,"172,140",57.66M
TYGO,"Tigo Energy, Inc.",60.03M,-2.16%,"20,866",45.99M
CTM,"Castellum, Inc.",59.37M,-2.66%,"2,306,246",45.56M
SELX,Semilux International Ltd.,59.14M,8.97%,"1,084",1.04M
FKWL,Franklin Wireless Corp.,58.80M,0.40%,"10,708",34.46M
IDN,"Intellicheck, Inc.",57.11M,2.85%,"20,546",19.24M
DUOT,"Duos Technologies Group, Inc.",55.42M,-9.60%,"140,800",7.35M
FTCI,"FTC Solar, Inc.",53.86M,-0.95%,"45,295",57.35M
REFR,Research Frontiers Incorporated,53.63M,-0.62%,"67,029",1.47M
INLX,"Intellinetics, Inc.",52.38M,-1.75%,"8,651",17.93M
PXLW,"Pixelworks, Inc.",51.87M,0.01%,"547,303",54.19M
SPRU,Spruce Power Holding Corporation,51.53M,0.36%,"27,867",77.58M
OCC,Optical Cable Corporation,50.39M,7.17%,"73,592",66.67M
SYT,"SYLA Technologies Co., Ltd.",50.39M,-,"1,474",149.12M
MSAI,"MultiSensor AI Holdings, Inc.",49.92M,-0.61%,"251,291",7.62M
MOBX,"Mobix Labs, Inc.",49.06M,-10.46%,"605,291",6.44M
AIXI,Xiao-I Corporation,48.75M,0.40%,"43,131",65.64M
FCUV,Focus Universal Inc.,48.06M,1.31%,"490,349",1.08M
ZEPP,Zepp Health Corporation,44.61M,-0.83%,"9,320",208.95M
LGCL,Lucas GC Limited,44.53M,1.26%,"30,922",173.31M
TACT,TransAct Technologies Incorporated,44.35M,-1.99%,"2,369",46.42M
SWVL,Swvl Holdings Corp.,43.12M,-0.21%,"8,186",19.80M
AXIL,"AXIL Brands, Inc.",42.68M,39.01%,"75,151",26.55M
MNDO,MIND C.T.I. Ltd,42.29M,-1.18%,"14,234",21.86M
MTC,"MMTec, Inc.",42.07M,8.33%,"225,535",-1.99M
BEEM,Beam Global,41.51M,-2.77%,"208,328",60.88M
KTCC,Key Tronic Corporation,41.43M,-7.67%,"153,944",548.39M
VRAR,"The Glimpse Group, Inc.",41.14M,7.41%,"433,322",8.14M
GLE,Global Engine Group Holding Limited,40.63M,7.77%,"447,093",6.33M
RTC,Baijiayun Group Ltd,40.22M,-3.68%,"361,849",59.79M
KPLT,"Katapult Holdings, Inc.",40.00M,6.92%,"29,375",241.79M
BTCT,BTC Digital Ltd.,39.56M,0.94%,"4,038,317",8.48M
EBON,Ebang International Holdings Inc.,39.44M,2.95%,"5,594",3.59M
HKIT,Hitek Global Inc.,39.26M,-3.60%,"14,514",3.45M
WCT,Wellchange Holdings Company Limited,38.70M,2.25%,"3,380,583",2.37M
DSWL,"Deswell Industries, Inc.",38.40M,-0.48%,"2,134",66.81M
LGL,"The LGL Group, Inc.",37.26M,-0.43%,"2,266",4.13M
ISDR,Issuer Direct Corporation,37.00M,2.12%,"18,860",29.14M
JG,Aurora Mobile Limited,35.99M,1.56%,"7,149",42.83M
WYY,WidePoint Corporation,35.46M,-1.28%,"16,944",133.12M
AWRE,"Aware, Inc.",34.99M,-2.37%,"42,197",16.97M
VHC,VirnetX Holding Corporation,34.76M,4.48%,"7,818",5.00K
CLPS,CLPS Incorporation,34.24M,-2.38%,"22,434",142.81M
DTST,Data Storage Corporation,33.25M,-2.27%,"26,135",25.14M
CMBM,Cambium Networks Corporation,33.05M,-0.85%,"347,300",172.22M
AGMH,AGM Group Holdings Inc.,32.99M,-1.45%,"4,777",65.00M
FAAS,DigiAsia Corp.,32.89M,-2.28%,"295,263",57.73M
BTCM,BIT Mining Limited,32.78M,-2.74%,"81,264",41.41M
MOGO,Mogo Inc.,32.70M,-,"92,672",31.00M
MASK,3 E Network Technology Group Limited,32.51M,-1.37%,"81,494",4.56M
XBP,"XBP Europe Holdings, Inc.",32.28M,0.94%,"4,787",157.15M
HOLO,MicroCloud Hologram Inc.,31.84M,-3.73%,"14,969,304",32.24M
LDTC,LeddarTech Holdings Inc.,31.71M,-0.48%,"345,068",353.69K
SURG,"SurgePays, Inc.",31.41M,0.64%,"52,433",83.60M
AIFF,"Firefly Neuroscience, Inc.",31.04M,12.31%,"1,448,139",74.00K
HTCR,"HeartCore Enterprises, Inc.",30.77M,-7.55%,"246,212",30.29M
NTWK,"NetSol Technologies, Inc.",30.52M,-2.56%,"10,657",61.75M
VSTE,Vast Renewables Limited,30.27M,-0.98%,"333,211",342.00K
AMPG,"AmpliTech Group, Inc.",30.04M,-1.03%,"1,328,124",11.67M
NXPL,NextPlat Corp,29.60M,-10.24%,"452,218",66.48M
CPSH,CPS Technologies Corporation,28.91M,0.51%,"49,940",21.94M
CXAI,CXApp Inc.,28.15M,-6.56%,"1,866,683",7.20M
EMKR,Emcore Corporation,27.79M,0.33%,"81,282",85.90M
DAIO,Data I/O Corporation,27.15M,1.34%,"10,867",23.46M
UTSI,UTStarcom Holdings Corp.,27.08M,-0.35%,"3,160",14.96M
CREX,"Creative Realities, Inc.",26.53M,0.79%,"30,557",54.30M
TURB,"Turbo Energy, S.A.",25.78M,-11.70%,"83,602",11.66M
TRT,Trio-Tech International,25.67M,1.17%,"13,834",42.15M
CNTM,"ConnectM Technology Solutions, Inc.",25.56M,3.42%,"28,712",21.79M
FOXX,Foxx Development Holdings Inc.,24.10M,-8.31%,"8,066",26.34M
MTEK,Maris-Tech Ltd.,23.95M,-12.64%,"269,334",6.97M
SMSI,"Smith Micro Software, Inc.",23.41M,4.76%,"192,235",24.18M
SAIH,SAIHEAT Limited,23.30M,-0.42%,"162,759",6.95M
SYNX,Silynxcom Ltd.,22.58M,-0.93%,"2,758",9.89M
EZFL,EZFill Holdings Inc.,21.74M,-5.15%,"14,524",26.67M
BOSC,B.O.S. Better Online Solutions Ltd.,21.55M,-0.53%,"44,981",40.45M
STEC,Santech Holdings Limited,21.01M,-5.00%,"32,708",260.47M
HUBC,HUB Cyber Security Ltd.,20.69M,-0.88%,"551,305",33.36M
BNAI,"Brand Engagement Network, Inc.",20.20M,3.40%,"210,070",135.00K
BLIN,"Bridgeline Digital, Inc.",19.06M,-0.54%,"77,826",15.36M
MOB,Mobilicom Limited,18.04M,-3.40%,"364,087",3.46M
JFU,9F Inc.,17.78M,2.37%,"5,560",40.61M
JDZG,JIADE Limited,17.70M,7.61%,"176,450",2.33M
ELSE,"Electro-Sensors, Inc.",17.57M,1.09%,"1,483",9.29M
FEBO,Fenbo Holdings Limited,16.48M,0.68%,"14,509",16.32M
IZM,ICZOOM Group Inc.,16.42M,-3.45%,"48,749",177.93M
TAIT,Taitron Components Incorporated,15.90M,1.54%,"4,249",4.34M
ORKT,Orangekloud Technology Inc.,15.70M,2.99%,"857,468",3.90M
INTZ,Intrusion Inc.,15.55M,-1.03%,"1,483,680",5.46M
JZ,Jianzhi Education Technology Group Company Limited,15.44M,1.86%,"1,638",50.81M
MLGO,MicroAlgo Inc.,15.16M,2.70%,"1,328,798",83.50M
SONM,"Sonim Technologies, Inc.",14.96M,-5.97%,"162,230",56.74M
DTSS,Datasea Inc.,14.88M,2.86%,"67,516",38.18M
ARBB,ARB IOT Group Limited,14.28M,5.88%,"36,788",12.33M
CLRO,"ClearOne, Inc.",14.20M,1.28%,"747,397",12.58M
BLBX,Blackboxstocks Inc.,13.97M,0.25%,"1,174,008",2.76M
XTKG,"X3 Holdings Co., Ltd.",13.91M,5.21%,"17,939",15.23M
MYNA,Mynaric AG,13.82M,3.21%,"81,050",5.96M
RYDE,Ryde Group Ltd,13.09M,-,"75,341",5.76M
DATS,"DatChat, Inc.",13.09M,-6.45%,"1,039,754",515.00
PET,Wag! Group Co.,12.74M,-0.39%,"811,749",76.75M
LEDS,SemiLEDs Corporation,12.40M,4.24%,"170,449",4.79M
WISA,"WiSA Technologies, Inc.",12.39M,8.76%,"648,477",2.19M
SCKT,"Socket Mobile, Inc.",12.28M,1.57%,"5,462",18.33M
KNW,"Know Labs, Inc.",12.27M,1.07%,"1,501,397",-
SMTK,"SmartKem, Inc.",12.11M,2.10%,"8,486",40.00K
CISO,CISO Global Inc.,12.06M,-1.92%,"116,377",54.63M
ASTC,Astrotech Corporation,11.80M,2.46%,"6,786",1.27M
APCX,AppTech Payments Corp.,11.78M,0.73%,"404,988",365.00K
UAVS,"AgEagle Aerial Systems, Inc.",11.70M,-1.59%,"572,436",13.49M
UBXG,U-BX Technology Ltd.,11.39M,13.77%,"67,778",51.60M
SGMA,"SigmaTron International, Inc.",11.20M,6.71%,"25,389",336.56M
CYN,Cyngn Inc.,11.18M,-0.97%,"1,544,784",102.12K
RVYL,Ryvyl Inc.,10.72M,-0.68%,"144,063",63.53M
BNZI,"Banzai International, Inc.",10.61M,-9.94%,"738,955",4.31M
GMM,Global Mofy AI Limited,10.58M,-2.96%,"41,408",41.36M
MSN,Emerson Radio Corp.,10.54M,-3.13%,"17,930",9.76M
