Symbol,Company,Market Cap,% Change,Volume,Revenue
ZM,Zoom Communications Inc.,24.57B,0.20%,"2,075,842",4.63B
NOK,Nokia Oyj,24.49B,-3.84%,"20,461,851",22.05B
TDY,Teledyne Technologies Incorporated,23.97B,-0.13%,"317,046",5.67B
PSTG,"Pure Storage, Inc.",23.54B,-0.30%,"2,034,865",3.08B
ASX,"ASE Technology Holding Co., Ltd.",23.48B,-0.64%,"10,797,155",18.69B
WDC,Western Digital Corporation,23.30B,-1.85%,"4,861,771",14.35B
ON,ON Semiconductor Corporation,23.21B,-3.13%,"8,758,932",7.38B
GFS,GlobalFoundries Inc.,23.03B,1.13%,"1,301,752",6.77B
STM,STMicroelectronics N.V.,22.92B,-1.67%,"5,190,729",14.23B
STX,Seagate Technology Holdings plc,22.89B,-0.21%,"2,965,622",8.04B
PTC,PTC Inc.,22.74B,-0.06%,"714,848",2.30B
TOST,"Toast, Inc.",22.34B,-1.68%,"4,697,443",4.66B
CHKP,Check Point Software Technologies Ltd.,21.39B,-0.97%,"469,486",2.52B
ZBRA,Zebra Technologies Corporation,21.39B,-1.54%,"243,761",4.66B
TER,"Teradyne, Inc.",21.16B,-1.45%,"2,191,393",2.74B
TWLO,Twilio Inc.,20.90B,20.13%,"17,394,153",4.34B
VRSN,"VeriSign, Inc.",20.25B,1.97%,"563,138",1.54B
SSNC,"SS&C Technologies Holdings, Inc.",19.81B,0.53%,"850,765",5.76B
MDB,"MongoDB, Inc.",19.50B,0.48%,"778,957",1.92B
SMCI,"Super Micro Computer, Inc.",19.48B,-0.42%,"31,410,471",14.94B
LDOS,"Leidos Holdings, Inc.",19.43B,-2.23%,"1,465,934",16.28B
TRMB,Trimble Inc.,19.03B,-0.09%,"768,839",3.63B
JBL,Jabil Inc.,18.92B,1.22%,"1,556,982",27.49B
DOCU,"DocuSign, Inc.",18.50B,1.17%,"2,155,961",2.91B
GRAB,Grab Holdings Limited,18.40B,-1.51%,"20,100,262",2.69B
ALAB,"Astera Labs, Inc.",18.33B,-6.61%,"5,392,605",305.71M
FSLR,"First Solar, Inc.",18.01B,-3.37%,"3,837,113",3.85B
KSPI,Joint Stock Company Kaspi.kz,18.00B,-0.99%,"184,382",4.93B
CYBR,CyberArk Software Ltd.,17.73B,0.22%,"337,997",909.46M
MANH,"Manhattan Associates, Inc.",17.67B,1.55%,"556,518",1.02B
AFRM,"Affirm Holdings, Inc.",17.50B,-1.81%,"6,402,092",2.52B
NTNX,"Nutanix, Inc.",17.33B,-0.66%,"1,833,204",2.23B
GWRE,"Guidewire Software, Inc.",17.20B,0.66%,"10,021,650",1.04B
FLEX,Flex Ltd.,17.17B,0.96%,"2,485,825",25.45B
GEN,Gen Digital Inc.,16.91B,-0.18%,"1,871,301",3.86B
DT,"Dynatrace, Inc.",16.61B,1.57%,"3,446,690",1.56B
AZPN,"Aspen Technology, Inc.",16.14B,-0.23%,"363,647",1.09B
FFIV,"F5, Inc.",16.00B,0.03%,"407,613",2.82B
ENTG,"Entegris, Inc.",15.73B,-1.60%,"2,975,416",3.20B
COHR,Coherent Corp.,15.52B,-6.90%,"3,140,274",5.00B
UMC,United Microelectronics Corporation,15.42B,-2.57%,"10,370,565",7.09B
OKTA,"Okta, Inc.",15.23B,0.90%,"2,049,786",2.53B
AKAM,"Akamai Technologies, Inc.",14.68B,1.89%,"1,741,310",3.97B
SWKS,"Skyworks Solutions, Inc.",14.58B,-1.43%,"1,655,996",4.18B
BSY,"Bentley Systems, Incorporated",14.52B,-0.54%,"1,052,931",1.31B
DUOL,"Duolingo, Inc.",14.45B,-2.20%,"435,675",689.46M
EPAM,"EPAM Systems, Inc.",14.32B,2.91%,"715,965",4.64B
CLS,Celestica Inc.,14.18B,-1.00%,"2,374,098",9.24B
CIEN,Ciena Corporation,13.73B,-1.59%,"3,013,611",4.01B
LOGI,Logitech International S.A.,13.47B,-0.40%,"610,093",4.47B
CRDO,Credo Technology Group Holding Ltd,13.46B,-4.41%,"3,245,669",245.59M
WIX,Wix.com Ltd.,13.15B,-0.66%,"409,974",1.70B
RBRK,"Rubrik, Inc.",13.15B,0.97%,"1,098,950",803.46M
JNPR,"Juniper Networks, Inc.",12.92B,0.15%,"2,756,923",5.03B
JKHY,"Jack Henry & Associates, Inc.",12.69B,-0.14%,"407,434",2.25B
MNDY,monday.com Ltd.,12.37B,-0.31%,"643,001",906.59M
YMM,Full Truck Alliance Co. Ltd.,12.04B,2.04%,"4,544,467",1.49B
SNX,TD SYNNEX Corporation,11.93B,-0.18%,"377,031",58.45B
AUR,"Aurora Innovation, Inc.",11.82B,-1.15%,"7,338,811",-
KVYO,"Klaviyo, Inc.",11.77B,-0.46%,"733,963",868.92M
PAYC,"Paycom Software, Inc.",11.60B,1.10%,"294,772",1.82B
PCOR,"Procore Technologies, Inc.",11.59B,-0.55%,"587,037",1.11B
PCTY,Paylocity Holding Corporation,11.51B,1.46%,"389,669",1.45B
DAY,Dayforce Inc.,11.20B,1.46%,"943,438",1.69B
ESTC,Elastic N.V.,10.81B,0.26%,"1,115,839",1.38B
MTSI,"MACOM Technology Solutions Holdings, Inc.",10.72B,-1.27%,"485,029",729.58M
ONTO,Onto Innovation Inc.,10.55B,-1.59%,"748,597",942.24M
FOUR,"Shift4 Payments, Inc.",10.52B,-0.63%,"1,008,428",3.15B
GTLB,GitLab Inc.,10.52B,1.33%,"2,377,931",711.60M
DSGX,The Descartes Systems Group Inc.,10.20B,-0.63%,"114,543",631.76M
NICE,NICE Ltd.,10.02B,0.52%,"238,122",2.64B
