Date,3_Month_Treasury_Bill_Yield,Monthly_Return,Risk_Premium
1999-02-01,0.0444,-0.0991736148870029,-0.1435736148870029
1999-03-01,0.0444,0.0743118915892064,0.029911891589206395
1999-04-01,0.0429,0.0059778902672902,-0.036922109732709804
1999-05-01,0.045,0.0033957076535737,-0.0416042923464263
1999-06-01,0.0457,0.0960230005175544,0.0503230005175544
1999-07-01,0.0455,-0.0115777843540726,-0.0570777843540726
1999-08-01,0.0472,0.0351417882126057,-0.012058211787394302
1999-09-01,0.0467999999999999,-0.0041491675867657,-0.0509491675867656
1999-10-01,0.0486,0.0303028919953638,-0.018297108004636197
1999-11-01,0.0507,0.0981621006028634,0.0474621006028634
1999-12-01,0.052,0.1543360378500786,0.10233603785007861
2000-01-01,0.0532,-0.0614675249386416,-0.1146675249386416
2000-02-01,0.0555,0.1050688332804501,0.04956883328045009
2000-03-01,0.0569,0.0838921749545216,0.0269921749545216
2000-04-01,0.0566,-0.0918470019841589,-0.1484470019841589
2000-05-01,0.0579,-0.1039772657886644,-0.1618772657886644
2000-06-01,0.0569,0.0995558680603416,0.0426558680603416
2000-07-01,0.0596,-0.0530565002617048,-0.1126565002617048
2000-08-01,0.0608999999999999,0.1017052904183914,0.040805290418391496
2000-09-01,0.06,-0.1796574208662327,-0.2396574208662327
2000-10-01,0.0611,-0.0572775789388216,-0.1183775789388216
2000-11-01,0.0617,-0.205146688351978,-0.266846688351978
2000-12-01,0.0576999999999999,-0.0989206548625074,-0.15662065486250729
2001-01-01,0.0515,0.1912171759056773,0.1397171759056773
2001-02-01,0.0487999999999999,-0.2490613899150401,-0.29786138991503996
2001-03-01,0.0441999999999999,-0.1146019620618152,-0.1588019620618151
2001-04-01,0.0387,0.1616942075084229,0.1229942075084229
2001-05-01,0.0362,-0.0409587854743463,-0.0771587854743463
2001-06-01,0.0349,0.0195443425594576,-0.0153556574405424
2001-07-01,0.0351,-0.0692225582620473,-0.10432255826204731
2001-08-01,0.0336,-0.1220440309882554,-0.1556440309882554
2001-09-01,0.0264,-0.1637707089829155,-0.19017070898291552
2001-10-01,0.0216,0.1090902506740691,0.0874902506740691
2001-11-01,0.0187,0.1494149926565,0.1307149926565
2001-12-01,0.0169,-0.0220046752768506,-0.0389046752768506
2002-01-01,0.0165,-0.0108334411949562,-0.0273334411949562
2002-02-01,0.0172,-0.1301598071070701,-0.14735980710707008
2002-03-01,0.0179,0.0493943831324816,0.0314943831324816
2002-04-01,0.0171,-0.1209044892914142,-0.1380044892914142
2002-05-01,0.0173,-0.0414698840652602,-0.058769884065260194
2002-06-01,0.017,-0.1336256977098828,-0.15062569770988282
2002-07-01,0.0168,-0.0948165042487992,-0.1116165042487992
2002-08-01,0.0162,-0.0083796393888444,-0.0245796393888444
2002-09-01,0.0163,-0.1669014039084692,-0.1832014039084692
2002-10-01,0.0158,0.247674908865761,0.23187490886576098
2002-11-01,0.0123,0.1585362511393551,0.1462362511393551
2002-12-01,0.0118999999999999,-0.1345024210788405,-0.1464024210788404
2003-01-01,0.0116999999999999,-0.0210131003435987,-0.0327131003435986
2003-02-01,0.0116999999999999,0.0048443256543642,-0.0068556743456357
2003-03-01,0.0113,-0.0151517613840697,-0.026451761384069697
2003-04-01,0.0113,0.0916085281582186,0.0803085281582186
2003-05-01,0.0107,0.085842270326317,0.075142270326317
2003-06-01,0.0092,0.0070796880114143,-0.0021203119885857
2003-07-01,0.009,0.0310484283926979,0.022048428392697904
2003-08-01,0.0095,0.047727418694585,0.038227418694585
2003-09-01,0.0093999999999999,-0.0086766576608744,-0.0180766576608743
2003-10-01,0.0092,0.0733045253603761,0.0641045253603761
2003-11-01,0.0093,0.0142705401417904,0.004970540141790401
2003-12-01,0.009,0.0241210681124479,0.015121068112447901
2004-01-01,0.0088,0.0500544842515457,0.041254484251545695
2004-02-01,0.0093,-0.025411592967759,-0.034711592967759
2004-03-01,0.0093999999999999,-0.0265570345757881,-0.035957034575788
2004-04-01,0.0093999999999999,-0.0381947972401884,-0.0475947972401883
2004-05-01,0.0102,0.0391957814656371,0.028995781465637097
2004-06-01,0.0127,0.0272955926793709,0.0145955926793709
2004-07-01,0.0133,-0.0608699081371642,-0.0741699081371642
2004-08-01,0.0148,-0.0442390863411263,-0.0590390863411263
2004-09-01,0.0165,0.0290639960224832,0.0125639960224832
2004-10-01,0.0176,0.0439335353113012,0.026333535311301202
2004-11-01,0.0207,0.051101252577651,0.030401252577651004
2004-12-01,0.0219,0.0061969370303915,-0.0157030629696085
2005-01-01,0.0233,-0.0376443301694467,-0.060944330169446705
2005-02-01,0.0254,0.0015060376377327,-0.023893962362267297
